id,app,name,applied
1,contenttypes,0001_initial,2019-03-03 04:41:01.931942
2,auth,0001_initial,2019-03-03 04:41:02.143067
3,admin,0001_initial,2019-03-03 04:41:02.376895
4,contenttypes,0002_remove_content_type_name,2019-03-03 04:41:02.615557
5,auth,0002_alter_permission_name_max_length,2019-03-03 04:41:02.853820
6,auth,0003_alter_user_email_max_length,2019-03-03 04:41:03.071158
7,auth,0004_alter_user_username_opts,2019-03-03 04:41:03.266727
8,auth,0005_alter_user_last_login_null,2019-03-03 04:41:03.517687
9,auth,0006_require_contenttypes_0002,2019-03-03 04:41:03.645199
10,djangoapp,0001_initial,2019-03-03 04:41:03.863174
11,sessions,0001_initial,2019-03-03 04:41:04.094355
12,djangoapp,0002_auto_20190413_2214,2019-04-13 22:14:37.106337
13,djangoapp,0003_auto_20190413_2219,2019-04-13 22:20:01.781787
14,djangoapp,0004_auto_20190413_2231,2019-04-13 22:31:30.138298
15,djangoapp,0005_auto_20190413_2236,2019-04-13 22:36:45.803376
16,djangoapp,0006_auto_20190413_2256,2019-04-13 22:57:05.893043
17,djangoapp,0007_auto_20190413_2301,2019-04-13 23:01:45.733322
18,djangoapp,0008_auto_20190909_1859,2019-09-09 19:00:02.261927
19,djangoapp,0009_auto_20190909_1908,2019-09-09 19:08:14.376293
20,djangoapp,0010_computer_export_to_csv,2019-11-10 22:32:15.943138
21,djangoapp,0011_remove_computer_export_to_csv,2019-11-10 23:09:47.298281
22,djangoapp,0012_auto_20191130_1823,2019-11-30 18:23:15.249162
23,djangoapp,0013_auto_20191130_1901,2019-11-30 19:01:58.712581
24,djangoapp,0014_auto_20191130_1903,2019-11-30 19:03:21.473157
25,djangoapp,0015_computer_export_to_csv,2019-11-30 19:31:47.236807
